symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2019-08-15 00:00:00+00:00,148.77,151.63,147.39,150.83,13861551,36.9842555043,37.6952521484,36.6411871935,37.4963719682,55446204,0.0,1.0
NVDA,2019-08-16 00:00:00+00:00,159.56,161.54,156.88,159.35,25384628,39.6666519343,40.1588803802,39.0004033307,39.614445887,101538512,0.0,1.0
NVDA,2019-08-19 00:00:00+00:00,170.78,171.42,163.47,164.12,20408061,42.4559464611,42.6150506053,40.6386788149,40.8002689613,81632244,0.0,1.0
NVDA,2019-08-20 00:00:00+00:00,167.87,170.58,167.02,170.56,11588040,41.7325198058,42.4062264161,41.5212096144,42.4012544116,46352160,0.0,1.0
NVDA,2019-08-21 00:00:00+00:00,171.23,173.45,169.66,170.53,10697773,42.5678165625,43.1197090625,42.1775142089,42.3937964048,42791092,0.0,1.0
NVDA,2019-08-22 00:00:00+00:00,171.48,173.33,169.9,171.62,7593918,42.6299666188,43.0898770354,42.237178263,42.6647706503,30375672,0.0,1.0
NVDA,2019-08-23 00:00:00+00:00,162.44,170.59,161.64,168.4,14237433,40.3826205829,42.4087124184,40.1837404027,41.8642779251,56949732,0.0,1.0
NVDA,2019-08-26 00:00:00+00:00,165.45,166.58,163.91,165.61,7964854,41.1309072608,41.4118255153,40.748062914,41.1706832968,31859416,0.0,1.0
NVDA,2019-08-27 00:00:00+00:00,161.8,167.1,160.62,166.99,7288739,40.2235164388,41.5410976324,39.930168173,41.5137516076,29154956,0.0,1.0
NVDA,2019-08-28 00:00:00+00:00,161.22,163.34,159.0,160.58,6376719,40.1191043442,40.6466598659,39.5666641281,39.9598422999,25506876,0.16,1.0
NVDA,2019-08-29 00:00:00+00:00,167.0,168.3,164.76,164.9,8959326,41.5574396817,41.8809407091,41.0000225267,41.0348610988,35837304,0.0,1.0
NVDA,2019-08-30 00:00:00+00:00,167.51,170.86,166.78,168.86,7272712,41.6843516232,42.5179888863,41.5026933539,42.0202949979,29090848,0.0,1.0
NVDA,2019-09-03 00:00:00+00:00,164.17,165.91,163.25,164.58,7412770,40.8532028296,41.2861965125,40.6242636409,40.9552300767,29651080,0.0,1.0
